cor muito feia esperava um vermelho	0
lavei a primeira vez encheu de bolinha ficou muito feia o elástico da manga parecia brusa veia	0
excelente funciona mesmo o cachorro nao conaegue puxar o dono fica sempre ao lado	0
bonito mas não dá pra usar sutiã então se tem pouco peito fica feio	0
cor feia acabamento ruim e sem antiderrapante	0
uma bosta de atendimento recebi o farol da lado errado liguei diversas vezes (interurbano) porem sempre tinha uma enorme fila de espera envieei uns trinta e-mails e nao obtive resposta não indico esse loja para ninguem	Bad
linda valoriza a bunda e é muito elegante	0
não aconselho a 1ª vez que encomendei ja havia feito o pagamento e me ligaram dizendo que não podiam entragar devido ao dia de iemanja em salvador na 2ª fui mais infeliz pois encomendei uma coroa grande e me deparei com uma coroa pequena feia e totalmente diferente do acertado informei briguei tanto sim que depois de 1 semana me ligaram pedindo desculpas e me devolveram r$ 60 00 equivalente ao tamanho da coroa enviaram uma pequena não recomendo e tampouco vou encomendar mais com essa empresa	0
estou passando nas estrias e não vi resultado ainda mas tb estou usando em uma cicatriz no seio e tem sido excelente a cicatriz que era bem feia está quase imperceptível vou continuar usando sempre compro na época preço ótimo e entrega sempre antes do prazo	0
a cor diferente não veste bem muito feia	0
o feicho é fraco e não da para confiar quando o cachorro faz força já abriu 2x em passeios além disso as tiras esgarçaram o produto serve para ensinar cães a não puxarem no passeio mas não serve para cães que puxam e que são muito fortes ou seja foi inútil	0
o produto é muito bom bem acabado montagem simples peças firmes rodinhas silenciosas mas o estofado do assento é um pouco fino e pouco denso peso 66kg e depois de alguns minutos sentado sinto como se nao tivesse mais espuma minha bunda encosta na madeira gera um pequeno desconforto mas nada que nao me deixe usar a cadeira resolvendo esse problema no assento a cadeira é nota 1000	0
comprei g e ficou um pouco pequeno nos peitos e deveria ser um pouco mais grosso mais é bonito	0
amei muito cheiro sexual eu recomendo produto de qualidade	0
adorei fica fica muito sex	0
acho que deveria ter uma forma da capa ficar fixa ao banco nas laterais pois o cachorro se mexe e ela sai do lugar deixando o banco desprotegido	0
o produto é bom o unico detalhe é que efetuei a compra do produto 17588 bi color e recebi o produto12277 é um modelo semelhante porem muito mais feio do que eu comprei como tinha a necessidade do mesmo não efetuei a devolução mas caso contrario com certeza iria devolver	0
muito vagabundo não encaixa não gostei	Bad
veio com defeito e o fdp não devolveu meu dinheiro	Bad
o produto em si nao é tao ruim mas comparado com o da loreal por exemplo perde feio a duração dele na minha pele não ultrapassou umas tres horas a cobertura não é boa tem que se passar uma maior quantidade pra cobrir um pouquinho mais não fica matte com o passar do tempo o preço em relação ao da loreal é mais alto então vou usar pois comprei mas não tera uma segunda vez	0
eu havia comprado o mesmo perfume num shopping popular pensando ser falso e era realmente muito bom fixava e o perfume era agradável o que recebi desta loja não é perfume não fixa e não tem cheiro de perfume me senti lesado reclamei no site e recebi como resposta um nº 0800 para ligar para outra empresa como se eu tivesse comprado em outro lugar	0
tênis veio menor e com aspectos de ser falso tento contato com a loja para troca e não consigo me sinto enganado e lesado	0
maravilhoso minha cachorra se alimenta brincando com a ração só felicidade	0
foge totalmente do que a aleatory produz parece uma blusa falsa tecido feio cor sem vida ( a cor de rosa)	0
está funcionando a contento só que a rosca de um prisioneiro que segura a caixa do filtro de ar espanou	0
quanto as calças lejeans no calor não dá pra usar não e tambem não empina bunda não	0
