0	porcaria de relógio pelo custo e pelo apelo comercial pensei que fosse um bom relógio me enganei em menos de 3 semanas de uso o relógio já não funciona mais uma merda	0	0:92.91%  //  Bad:7.09%
1	se ao menos o produto tivesse chegado a minha residencia a loja apresenta bastante atrativos para compra e assistência só até a compra até hoje meu produto não chegou no meu endereço em pleno século 21 eles alegam não achar meu endereço moro num dos condomínios mais conhecidos da região até um cachorro irracional saberia encontrar o destinatário deveriam apresentar o gps que eles vendem para o transportador se tivesse algum nível abaixo de péssimo esse seria o escolhido por mim estou bastante decepcionado com a loja e não indico o site a ninguem	0	0:100.0%  //  Bad:0.0%
2	é uma cadeira diferente das que encontrei no mercado bem robusta e resistente mas o quanto a conforto deixa a desejar não faz uma semana que estou usando e já esta na madeira a espuma aparentemente vagabunda cedeu provavelmente terei que levar a alguns lugar para que coloque uma espuma nova	0	0:99.2%  //  Bad:0.8%
3	ótimo esta me ajudando para caralho	0	0:81.02%  //  Bad:18.98%
4	O atendente era feio demais	0	0:75.39%  //  Bad:24.61%
5	uma porcaria que não platina o cabelo coisa nenhuma pura propaganda enganosa e sem contar com o uso indevido da imagem dos produtos da magic color que vcs usam até o no endereço do site vcs usam o nome de magic color e dizem no site que magic blond é uma linha da magic color que feio usando nome de outra empresa para vender seus produtos não recomendo magic blond pra ninguem dinheiro jogado no lixo porcaria	0	0:99.93%  //  Bad:0.07%
6	porcaria já destruí o produto e nem cheguei a cair qualidade paraguaia produto ching ling vagabundo	0	0:66.92%  //  Bad:33.08%
7	a roda traxart urban é a melhor de tdas as rodas de vcs pqp alto nível boa demais resistência incomparável	Bad	0:5.29%  //  Bad:94.71%
8	Tem que ser doido pra comprar nessa loja	0	0:56.6%  //  Bad:43.4%
9	não gostei da malha aparência muito vagabunda nas fotos parecia ser outra coisa pessoalmente péssima	0	0:97.7%  //  Bad:2.3%
10	uma graça não marca na bunda	0	0:78.12%  //  Bad:21.88%
11	produto veio danificado peças que não se encaixam madeira podre	0	0:97.79%  //  Bad:2.21%
12	só falta a moldura para colocar nessa merda	Bad	0:11.76%  //  Bad:88.24%
13	uma bosta não funciona como deveria caro não tem temporizador o vento é fraquíssimo e o acabamento de péssima qualidade não recomendo	0	0:91.15%  //  Bad:8.85%
14	Tem que ser muito burro pra comprar nessa loja	Bad	0:46.51%  //  Bad:53.49%
15	mt vagabundo o material porderia ser um pouco melhor	0	0:82.3%  //  Bad:17.7%
16	O fedor da loja é insuportável	0	0:88.89%  //  Bad:11.11%
17	Aquele macaco me vendeu errado	0	0:66.03%  //  Bad:33.97%
18	eu nem recebi essa porra ainda vou é processar essa loja	Bad	0:10.41%  //  Bad:89.59%
19	gostei fica bem bonito e tem bom acabamento no cromo espero não ficar feio com o tempo	0	0:99.58%  //  Bad:0.42%
20	muito bom o produto não conhecia o site e por isso fiquei meio recioso em fazer esta compra mas me enganei feio o produto é perfeito a entrega foi dentro do prazo	0	0:99.67%  //  Bad:0.33%
21	meu cachorro adorou recomendo muito	0	0:99.96%  //  Bad:0.04%
22	o cachorro escorrega pois o material é muito liso	0	0:99.81%  //  Bad:0.19%
23	maravilhoso pois protege vem o banco do carro e o cachorro fica bem a vontade	0	0:99.98%  //  Bad:0.02%
24	gostaria de falar bem ou mal do produto mas até hoje não chegou também até hoje não responderam meu email também até hoje não devolveram meu dinheiro já que não recebi o produto também até hoje não atenderam meus telefonemas também até hoje fico que nem troxa ansioso quando vejo uma email do clube do lar achando que seria um do tipo sério mas pelo que vejo só oferecem produtos que não entrega afinal o meu não chegou bom descanso e um ótimo final de semana pois pela previsão o calor vai ser de rachar e eu irei ficar olhando e imaginando como seria ou ficaria o ventilador no teto	0	0:100.0%  //  Bad:0.0%
25	a cachorra não reclamou :	0	0:99.01%  //  Bad:0.99%
26	cor feia muito metálica	0	0:99.63%  //  Bad:0.37%
27	o produto foi bom e chegou na hora marcada mas não veio conforme a foto o pote de vidro era feio e o chocolate veio em três embalagens diferentes para ficar na quantidade certa	0	0:99.99%  //  Bad:0.01%
28	minha cachorra adorou excelente qualidade	0	0:99.97%  //  Bad:0.03%
29	muito bom o cachorro gosta do sabor e permite a escovação do dente	0	0:99.96%  //  Bad:0.04%
30	produto funciona ok mas a qualidade é bem ruim a luz é meio fraca além de tudo fica bem feio no carro	0	0:99.93%  //  Bad:0.07%
31	tecido feio	0	0:90.22%  //  Bad:9.78%
32	o produto feio errado gostaria de efetuar a troca como faço	0	0:94.7%  //  Bad:5.3%
33	fiquei desapontada com o produto pois a madeirinha que segura o papel toalha veio rachada ficou claro pra mim que quem colocou na caixa o fez de ma fe pois ela nao rachou no transporte pois tudo veio bem embalado e em perfeito estado menos esse suporte o que infelizmente inviabiliza eu utilizar o produto funcionarios relapsos mancham a imagem da empresa gostei de metodo de voces de quererem saber sobre o nivel de satisfacao dos clientes pois assim eu pude deixar registrado o meu desabafo	0	0:100.0%  //  Bad:0.0%
34	boa qualidade mas podia ser mais justa na rosca	0	0:98.77%  //  Bad:1.23%
35	contra o frio apanha feio mas o conforto e as costuras estão de parabens	Bad	0:23.65%  //  Bad:76.35%
36	é um delicioso pl fazer sexo oral e um comprimento q te leva às estrelas	0	0:98.17%  //  Bad:1.83%
37	eu ja tinha um igual a esse que minha cadelinha adora só que estava bem velho comorei esse novo e em pouco tempo ja parou de fazer o barulho o velho ainda faz mas o novo já estragou minha cadela é uma shihtzu	0	0:99.99%  //  Bad:0.01%
38	se comparado a outro modelos com a mesma potência esse perde feio queimei o par que comprei na primeira vez que utilizei o ímã é 1/3 do tamanho do eros mas também custa 1/3 do valor então pesem o custo x benefício	0	0:99.99%  //  Bad:0.01%
39	propaganda enganosa cores das camisas vestidas pelos modelos não é a que vem na camisa me senti lesado	0	0:99.99%  //  Bad:0.01%
40	não pode faltar na mala de uma revendedora de sex shop	0	0:99.03%  //  Bad:0.97%
41	recomendo meus cachorros estão andando ao meu lado no passeio o link de segurança é muito útil pois no primeiro dia não havia ajustado corretamente o peitoral na minha cadela e ela consegui tira-lo se não fosse o link ela poderia ter se soltado o único problema é que uso plaquinha de identificação neles e ela fica encostando no link e fazendo barulho (de metal no metal) que ao meu ver deve ser incomodo para os cães mas acharei um jeito de resolver	0	0:100.0%  //  Bad:0.0%
42	bom eu nao gostei é muito diferente da propaganda acabamento muito feio e muito dificil a montagem acho q veio torto nao da certo no carro so consegui montar um lado e ficou bem feio acho q vou tirar	0	0:100.0%  //  Bad:0.0%
43	produto mais feio e com defeito na pedra lamentável	0	0:87.95%  //  Bad:12.05%
44	a camiseta veio com defeito ela estava como pano tipo podre rasgava do de puxar	0	0:76.65%  //  Bad:23.35%
